link,titulo,precio,moneda
https://portalinmobiliario.com/MLC-2937998712-departamento-amoblado-espoz-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Departamento Amoblado - Espoz,81,UF
https://portalinmobiliario.com/MLC-3060993802-santa-teresita-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Santa Teresita,79,UF
https://portalinmobiliario.com/MLC-1684873563-departamento-en-arriendo-en-san-damian-sector-tabancura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,"Departamento En Arriendo En San Damián, Sector Tabancura",1300000,$
https://portalinmobiliario.com/MLC-2986729402-moderno-departamento-en-arriendo-el-golf-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Moderno Departamento En Arriendo El Golf,34,UF
https://portalinmobiliario.com/MLC-3152851514-av-santa-maria-capellan-abazua-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Av. Santa Maria - Capellán Abazúa,950000,$
https://portalinmobiliario.com/MLC-1683529617-departamento-mario-kreutzberger-id-89490-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Departamento Mario Kreutzberger Id: 89490,335000,$
https://portalinmobiliario.com/MLC-2909038572-aeropuerto-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Aeropuerto,425000,$
https://portalinmobiliario.com/MLC-1676555479-departamento-zanartu-id-24728-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Departamento Zañartu Id: 24728,390000,$
https://portalinmobiliario.com/MLC-1710244033-departamento-en-arriendo-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Departamento En Arriendo En Las Condes,9000,US$
https://portalinmobiliario.com/MLC-1711467089-departamento-en-arriendo-de-3-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,Departamento En Arriendo De 3 Dorm. En Las Condes,65,UF
