link,lat,lon,comuna_geo,query_used
https://portalinmobiliario.com/MLC-2950186152-amplio-departamento-a-pasos-del-metro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=c5f14fb4-8588-4aa7-b749-71c060ad52dc,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3106104602-departamento-calle-pudeto-id-121178-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=e072c1e0-9854-447d-8946-ce54c783d558,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1695575479-disp-inmed-estac-san-fco-eramirez-mto-pque-almagro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1711881285-en-arriendo-depto-2-dorm-2-banos-estac-y-bodega-en-nunoa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3176475974-las-verbenas-hospital-fach-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1709426875-acogedor-en-segundo-piso-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1684869727-4d-4b-i-260-m2-i-3e-i-remodelar-i-futura-linea-l7-metro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1696298891-dp-3-dormitorios-en-lumen-3590-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1713960483-departamento-amoblado-disponibilidad-inmediata-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1709285215-vista-panoramica-en-piso-5-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3125289726-3-dorm-2-banos-amplitud-confort-y-buena-conexion-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1687604439-departamento-blanco-garces-int-id-22344-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1665759465-oportunidad-46-m2-2d-2b-uno-en-suite-metro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=bab2b105-96cd-4595-8ff6-382054de49b0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3194816378-departamento-avenida-beauchef-id-156573-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=6d775642-ffec-441c-9e52-04d80de7a4a0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1716201669-departamento-domingo-santa-maria-altura-id-39279-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=6d775642-ffec-441c-9e52-04d80de7a4a0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1697700649-comodo-depto-en-el-corazon-de-providencia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=6d775642-ffec-441c-9e52-04d80de7a4a0,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1703765283-depto-metro-ovalle-3d-1b-1e-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1713973081-luminoso-dpto-en-arriendo-de-4d-2e-a-pasos-alonso-de-cordova-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3169092554-promo-1er-mes-dpto-en-arriendo-de-3-dorm-en-san-miguel-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1690527769-super-amplio-luminoso-clasico-corazon-colegios-pasteur-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3205829588-lindo-duplex-con-patio-y-quincho-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-3123481618-espectacular-y-unico-penthouse-duplex-de-5-metros-de-altura-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
https://portalinmobiliario.com/MLC-1716339913-departamento-en-arriendo-de-4-dorm-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=a622d72b-3186-4983-813f-4d55fd812d7d,,,No Especificada,Failed
