titulo,precio,precio_texto,ubicacion,comuna,region,dormitorios,banos,superficie_total,superficie_util,estacionamientos,url,vendedor,fecha_scraping
Casona Colonial A Pasos Metro Matta,46.0,$46,"Serrano 1001, 8330974 Santiago, Región Metropolitana, Chile, San Diego, Santiago",San Diego,Santiago,6.0,3.0,,200.0,,https://portalinmobiliario.com/MLC-3114533426-casona-colonial-a-pasos-metro-matta-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa Santa Victoria Id: 159990,360000.0,$360.000,"Santa Victoria, Santa Isabel, Santiago",Santa Isabel,Santiago,1.0,1.0,,33.0,,https://portalinmobiliario.com/MLC-3194762600-casa-santa-victoria-id-159990-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Houm,2025-10-10 13:02:57
Magnifica Casa Patrimonial En Centro Cívico,2000000.0,$2.000.000,"Amunategui, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,Santiago,15.0,5.0,,396.0,,https://portalinmobiliario.com/MLC-2971864770-magnifica-casa-patrimonial-en-centro-civico-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Engel & Völkers Ñuñoa,2025-10-10 13:02:57
Casa En Arriendo De 2 Dorm. En Santiago,490000.0,$490.000,"ERASMO ESCALA-ESPERANZA, Barrio Yungay, Santiago",Barrio Yungay,Santiago,2.0,1.0,,80.0,,https://portalinmobiliario.com/MLC-1704810307-casa-en-arriendo-de-2-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa Apta Para Oficina Con Patente Comercial,1200000.0,$1.200.000,"Pedro León Ugalde 1365, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,5.0,2.0,,185.0,,https://portalinmobiliario.com/MLC-3199333368-casa-apta-para-oficina-con-patente-comercial-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa Miguel León Prado Taller/comercio/bodega  Metro Ñuble,700000.0,$700.000,"Miguel León Prado 127, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,3.0,1.0,,90.0,,https://portalinmobiliario.com/MLC-1704706143-casa-miguel-leon-prado-tallercomerciobodega-metro-nuble-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa Remodelada Para Taller O Bodega Giro Comercial,1200000.0,$1.200.000,"Espiñeira, Santiago, Club Hípico, Santiago",Club Hípico,Santiago,6.0,2.0,,200.0,,https://portalinmobiliario.com/MLC-3193055142-casa-remodelada-para-taller-o-bodega-giro-comercial-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Espectacular Y Amplia Casa,1200000.0,$1.200.000,"Ñuble 263, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,5.0,2.0,,250.0,,https://portalinmobiliario.com/MLC-1694557265-espectacular-y-amplia-casa-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo Morandé,280000.0,$280.000,"Protección Mutua De Chile, Santiago, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,Santiago,1.0,1.0,,40.0,,https://portalinmobiliario.com/MLC-1704865969-casa-en-arriendo-morande-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo De 4 Dorm. En Santiago,1300000.0,$1.300.000,"Cuevas/Metro Ñuble, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,4.0,2.0,,307.0,,https://portalinmobiliario.com/MLC-1645787931-casa-en-arriendo-de-4-dorm-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Alejandro Jaime V. & Asociados,2025-10-10 13:02:57
